Accession_ENSEMBL,Rob_Transcript_Class,Symbol
ENSMUST00000082407,19.2,mt-Atp8
ENSMUST00000082409,19.2,mt-Co3
ENSMUST00000082408,19.2,mt-Atp6
ENSMUST00000082405,19.2,mt-Co2
ENSMUST00000051241.5,20,Zfp36
ENSMUST00000021674.6,20,Fos
ENSMUST00000165033.1,20,Egr1
ENSMUST00000060427.4,20,Ier2
ENSMUST00000003640.2,20,Fosb
ENSMUST00000064922.5,20,Junb
ENSMUST00000042105.8,20,Ppp1r15a
ENSMUST00000092880.12,21,Tlcd1
ENSMUST00000176161.6,21,Ebf2
ENSMUST00000122365.1,21,Gm28037
ENSMUST00000174784.1,21,Gm20417
ENSMUST00000039758.4,21,Cox8a
ENSMUST00000048249.6,21,Ndufa7
ENSMUST00000034834.14,21,Pkm
ENSMUST00000110167.3,21,Ndufa13
ENSMUST00000110354.6,21,Srsf5
ENSMUST00000024823.11,21,Glo1
ENSMUST00000160682.6,21,Ubl5
ENSMUST00000042334.13,21,Rpl10a
ENSMUST00000034740.13,21,Nedd4
ENSMUST00000025541.5,21,Gnaq
ENSMUST00000102874.9,21,Mdh1
ENSMUST00000036996.5,21,Ndufb7
ENSMUST00000020640.7,21,Gnb2l1
ENSMUST00000022980.3,21,Ndufb9
ENSMUST00000038446.8,21,Myl12b
ENSMUST00000168900.2,21,Krtcap2
ENSMUST00000000804.6,21,Ddx3x
ENSMUST00000022634.8,21,Bnip3l
ENSMUST00000115609.7,21,Comt
ENSMUST00000186864.5,21,Reep6
ENSMUST00000068664.5,21,Neo1
ENSMUST00000054014.7,21,Ddx17
ENSMUST00000174259.6,21,Psme1
ENSMUST00000004172.13,21,Hmox2
ENSMUST00000028386.10,21,Nckap1
ENSMUST00000027297.9,21,Plekhb2
ENSMUST00000003912.6,21,Calr
ENSMUST00000192155.4,21,Ptch1
ENSMUST00000067689.7,21,Tnrc6b
ENSMUST00000076265.11,21,Upf3b
ENSMUST00000170489.1,21,Ddx6
ENSMUST00000017821.10,21,Wsb1
ENSMUST00000025396.3,21,Rax
ENSMUST00000114171.8,21,Atp6ap1
ENSMUST00000170202.7,21,Guk1
ENSMUST00000020896.13,21,Tspan13
ENSMUST00000005066.8,21,Map2k1
ENSMUST00000114723.7,21,Cacnb2
ENSMUST00000112250.3,21,Cacna1d
ENSMUST00000015903.9,21,Cnih1
ENSMUST00000025779.9,21,Cdk2ap2
ENSMUST00000130048.6,21,Vegfb
ENSMUST00000085585.10,21,Lsm14a
ENSMUST00000119694.1,21,Ctsf
ENSMUST00000030125.4,21,Bag1
ENSMUST00000034131.8,21,Vps35
ENSMUST00000109868.2,21,Idnk
ENSMUST00000022927.9,21,Rad21
ENSMUST00000087435.6,21,Bmpr2
ENSMUST00000019516.4,21,Nrbp2
ENSMUST00000167992.6,21,Tusc3
ENSMUST00000047935.7,21,Tspyl4
ENSMUST00000198440.3,21,Pmvk
ENSMUST00000190240.5,21,Fam134a
ENSMUST00000088652.5,21,Htatsf1
ENSMUST00000151937.6,21,Slc25a12
ENSMUST00000145963.6,21,Txnl4a
ENSMUST00000192503.1,21,Pcdha3
ENSMUST00000162364.6,21,Mob4
ENSMUST00000022257.2,21,Atxn7
ENSMUST00000029405.7,21,Gmps
ENSMUST00000021963.4,21,Caml
ENSMUST00000034000.13,21,Asah1
ENSMUST00000160597.6,21,Opa1
ENSMUST00000031556.12,21,Tmem106b
ENSMUST00000055911.4,21,Tigd3
ENSMUST00000032627.3,21,Tubgcp5
ENSMUST00000163739.1,21,Ap3m2
ENSMUST00000020999.5,21,Kif3c
ENSMUST00000112308.7,21,Lrpprc
ENSMUST00000029259.8,21,Mccc1
ENSMUST00000002100.7,21,Tmem25
ENSMUST00000041905.6,21,Nupl1
ENSMUST00000110383.6,21,Fam65b
ENSMUST00000056433.6,21,Gpr107
ENSMUST00000183588.1,99,Gm27435
ENSMUST00000097557.4,99,Spink13
ENSMUST00000162087.6,99,Fxyd5
ENSMUST00000178060.6,99,Gm3005
ENSMUST00000136992.6,99,Gm11837
ENSMUST00000192603.1,99,Gm38303
ENSMUST00000184863.6,99,Dexi
ENSMUST00000050004.1,99,Rnf125
ENSMUST00000105398.1,99,1810043G02Rik
ENSMUST00000187100.1,99,Gm29114
ENSMUST00000113980.3,99,M1ap
ENSMUST00000144024.1,99,Gm12147
ENSMUST00000166976.1,99,Klhl26
ENSMUST00000181660.6,99,Pantr1
ENSMUST00000053094.7,99,Fam188b
ENSMUST00000006391.4,99,Serpinb9
ENSMUST00000034746.9,99,Mns1
ENSMUST00000176841.1,99,4930438E09Rik
ENSMUST00000001156.7,99,Cfp
ENSMUST00000142822.2,99,Apela
ENSMUST00000024810.6,99,Fgd2
ENSMUST00000181731.1,99,C130060C02Rik
ENSMUST00000150459.1,99,1500009L16Rik
ENSMUST00000080406.5,99,Zfp251
ENSMUST00000146993.6,99,Mov10l1
ENSMUST00000043709.7,99,Gna15
ENSMUST00000160425.6,99,Phf11d
ENSMUST00000033909.12,99,Tex29
ENSMUST00000200893.2,99,RP24-63O24.1
ENSMUST00000184026.1,99,Gm27610
ENSMUST00000110002.6,99,Zfp882
ENSMUST00000148464.1,99,Gm16191
ENSMUST00000152787.2,99,Usp46os2
ENSMUST00000181720.1,99,C430014B12Rik
ENSMUST00000188560.1,99,Gm28528
ENSMUST00000143473.1,99,Gm11201
ENSMUST00000134921.1,99,C230014O12Rik
ENSMUST00000042750.2,99,Tmem246
ENSMUST00000098112.7,99,Dnajb5
ENSMUST00000020629.4,99,Gfpt2
ENSMUST00000096045.6,99,Dppa4
ENSMUST00000184174.1,99,Gm27801
ENSMUST00000092368.7,99,Tspear
ENSMUST00000023532.6,99,Ccdc14
ENSMUST00000168545.6,99,Adcy7
ENSMUST00000172184.1,99,Serpinb6c
ENSMUST00000034846.5,99,1700017B05Rik
ENSMUST00000001254.5,99,Slc26a3
ENSMUST00000127537.4,99,Gm28053
ENSMUST00000026210.4,99,Cpn1
ENSMUST00000067410.12,99,Dgkk
ENSMUST00000111208.1,99,Defb30
ENSMUST00000039959.9,99,1810046K07Rik
ENSMUST00000164605.6,99,4930405O22Rik
ENSMUST00000103209.8,99,Mmp28
ENSMUST00000089129.5,99,Cyp2d9
ENSMUST00000108130.1,99,Cga
ENSMUST00000183495.1,99,Gm27502
ENSMUST00000030165.4,99,Fancg
ENSMUST00000068861.6,99,Cyp2d12
ENSMUST00000160942.6,99,Fam83a
ENSMUST00000125374.6,99,Halr1
ENSMUST00000163803.1,99,Vmn2r63
ENSMUST00000146678.1,99,Gm12603
ENSMUST00000166494.1,99,Gm2897
ENSMUST00000027202.8,99,Sgol2a
ENSMUST00000101561.6,99,Gm773
ENSMUST00000180828.1,99,Gm26894
ENSMUST00000026315.7,99,Dnase1l3
ENSMUST00000031124.5,99,Gm5868
ENSMUST00000022053.9,99,Trip13
ENSMUST00000097425.8,99,Fndc1
ENSMUST00000109994.7,99,Unc5a
ENSMUST00000131378.1,99,4930486F22Rik
ENSMUST00000021837.8,99,Serpinb9c
ENSMUST00000057608.4,99,Lrrc3
ENSMUST00000036174.8,99,Gramd1c
ENSMUST00000023648.5,99,Krtap15
ENSMUST00000178581.1,99,Gm19668
ENSMUST00000162940.2,99,Smok2b
ENSMUST00000019974.3,99,Rab32
ENSMUST00000178772.1,99,Ankrd66
ENSMUST00000149572.6,99,Platr9
ENSMUST00000066912.10,99,Iigp1
ENSMUST00000085272.5,99,Htatip2
ENSMUST00000028361.4,99,Il1f6
ENSMUST00000064068.4,99,Fpr2
ENSMUST00000110594.2,99,Prl2c2
ENSMUST00000099562.3,99,Krtap14
ENSMUST00000204687.1,99,Reg1
ENSMUST00000050562.4,99,Ch25h
ENSMUST00000068004.11,99,Pcx
ENSMUST00000025394.11,5,Sec11c
ENSMUST00000043864.7,5,Cdc123
ENSMUST00000020270.4,5,Ddx50
ENSMUST00000079764.12,5,Wdr83os
ENSMUST00000114206.7,5,Ablim2
ENSMUST00000037850.5,5,Snx2
ENSMUST00000023060.11,5,Npcd
ENSMUST00000023159.8,5,Mgrn1
ENSMUST00000198322.3,5,Ubap2l
ENSMUST00000034866.8,5,Etfa
ENSMUST00000022507.10,5,Pspc1
ENSMUST00000020647.8,5,Mrnip
ENSMUST00000071442.10,5,Npdc1
ENSMUST00000021335.5,5,Scfd1
ENSMUST00000003461.13,5,Ogdh
ENSMUST00000098371.7,5,Slco3a1
ENSMUST00000105321.8,5,Nfic
ENSMUST00000020420.7,5,Ap3d1
ENSMUST00000056521.10,5,2900011O08Rik
ENSMUST00000009138.10,5,Stk38
ENSMUST00000040270.4,5,Actr1a
ENSMUST00000115395.8,5,Carm1
ENSMUST00000022699.8,5,Gfra2
ENSMUST00000113620.8,5,Sh3glb2
ENSMUST00000100812.3,5,Git1
ENSMUST00000108817.4,5,Hist3h2a
ENSMUST00000172571.6,5,Bag6
ENSMUST00000014640.7,5,Ankrd28
ENSMUST00000112986.7,5,Dab2ip
ENSMUST00000031061.10,5,Dhx15
ENSMUST00000044616.8,5,Ints8
ENSMUST00000023100.6,5,Srebf2
ENSMUST00000087228.9,5,Guf1
ENSMUST00000108883.8,5,Anxa6
ENSMUST00000201433.2,5,Dnm1
ENSMUST00000114415.8,5,Satb2
ENSMUST00000008893.8,5,Coro1b
ENSMUST00000047203.8,5,Rnf126
ENSMUST00000050646.11,5,Ttc19
ENSMUST00000007005.12,5,Acat2
ENSMUST00000120122.6,5,Cul5
ENSMUST00000117989.1,5,Ngrn
ENSMUST00000115345.6,5,Syn1
ENSMUST00000187752.5,5,Fam135a
ENSMUST00000022470.13,5,Parg
ENSMUST00000007251.12,5,Abhd16a
ENSMUST00000021682.8,5,Angel1
ENSMUST00000030028.4,5,Erp44
ENSMUST00000188371.5,5,Terf1
ENSMUST00000113607.8,5,Copg1
ENSMUST00000024958.7,5,Caskin1
ENSMUST00000177851.6,5,Gatad2a
ENSMUST00000088778.4,5,Rtl8b
ENSMUST00000003117.13,5,Ap1m1
ENSMUST00000003049.6,5,Med25
ENSMUST00000072740.11,5,Abr
ENSMUST00000080035.9,5,Cd99l2
ENSMUST00000084892.10,5,Dpy19l4
ENSMUST00000049167.12,5,Phf12
ENSMUST00000085192.5,5,Aldh6a1
ENSMUST00000114842.6,5,Anks1
ENSMUST00000020258.8,5,Herc4
ENSMUST00000028098.9,5,Orc4
ENSMUST00000102872.9,5,Rapgef1
ENSMUST00000034499.8,5,Dcun1d5
ENSMUST00000055946.7,5,Gpr158
ENSMUST00000119118.6,5,Fam189a1
ENSMUST00000052885.12,5,Tmem259
ENSMUST00000110224.6,5,Ttll5
ENSMUST00000099513.6,5,Hcn2
ENSMUST00000025178.14,5,Vps52
ENSMUST00000115777.8,5,Ube2v2
ENSMUST00000048519.14,5,Snx13
ENSMUST00000003154.6,5,Efna2
ENSMUST00000178098.6,5,Dcun1d1
ENSMUST00000038552.11,5,Coro7
ENSMUST00000108495.7,5,Strn4
ENSMUST00000185912.5,5,Kansl3
ENSMUST00000048319.4,5,Zfyve1
ENSMUST00000071488.6,5,Ints3
ENSMUST00000105378.7,5,Med16
ENSMUST00000029385.8,5,Serp1
ENSMUST00000096987.5,5,5-Sep
ENSMUST00000025393.12,5,Smad4
ENSMUST00000120717.6,5,Capn11
ENSMUST00000109097.7,5,Sec24a
ENSMUST00000113483.1,5,Pygm
ENSMUST00000031984.7,5,Smarcad1
ENSMUST00000006828.7,5,Aplp1
ENSMUST00000167549.1,5,Endod1
ENSMUST00000075076.4,5,D17Wsu92e
ENSMUST00000020884.14,5,Atp6v1c2
ENSMUST00000065630.6,5,Ddx10
ENSMUST00000027267.12,5,Pms1
ENSMUST00000167388.1,5,Gp1bb
ENSMUST00000029125.9,5,Armc1
ENSMUST00000171123.6,5,Adrbk1
ENSMUST00000102962.8,5,Cntfr
ENSMUST00000015239.8,5,Fbxw5
ENSMUST00000034326.6,5,Atp13a1
ENSMUST00000164843.6,5,Capn1
ENSMUST00000047226.8,5,Lonp1
ENSMUST00000018795.11,5,Tada2a
ENSMUST00000171353.1,5,Lrrc4
ENSMUST00000021991.9,5,Mterf3
ENSMUST00000036540.10,5,Fam117b
ENSMUST00000026823.13,5,Pigq
ENSMUST00000099776.4,5,Gpr137
ENSMUST00000070552.12,5,Osbp2
ENSMUST00000048657.8,5,Sec24c
ENSMUST00000085374.5,5,Slc17a7
ENSMUST00000046463.8,5,Gtpbp1
ENSMUST00000025338.14,5,Gabbr1
ENSMUST00000168678.6,5,Sin3a
ENSMUST00000035540.7,5,Phf2
ENSMUST00000165007.6,5,Klhdc3
ENSMUST00000128041.6,5,Tmem180
ENSMUST00000115519.6,5,Ica1
ENSMUST00000071739.10,5,Gsk3a
ENSMUST00000047488.12,5,Rap1gap2
ENSMUST00000032732.13,5,Apba2
ENSMUST00000108249.7,5,Prkci
ENSMUST00000022082.7,5,Glrx
ENSMUST00000105359.6,5,Apc2
ENSMUST00000023601.12,5,St6gal1
ENSMUST00000109554.1,5,Zc3h7b
ENSMUST00000114310.8,5,GRIN1
ENSMUST00000011285.9,5,Fgf11
ENSMUST00000165559.1,5,Ctif
ENSMUST00000045469.13,5,Pip5k1c
ENSMUST00000069520.9,5,Syp
ENSMUST00000036584.10,5,Pank1
ENSMUST00000081838.6,5,Zdhhc12
ENSMUST00000085715.5,5,Mark4
ENSMUST00000042103.8,5,Myo16
ENSMUST00000027186.10,5,Trak2
ENSMUST00000046587.6,5,Scamp5
ENSMUST00000045692.7,5,Fbxl16
ENSMUST00000111178.1,5,Efr3b
ENSMUST00000114331.8,5,Mfsd10
ENSMUST00000092891.5,5,Cacng7
ENSMUST00000167250.6,5,Plppr3
ENSMUST00000061174.6,5,Sarm1
ENSMUST00000115677.6,5,Tfe3
ENSMUST00000048630.6,5,Crtac1
ENSMUST00000041616.13,5,Pdxk
ENSMUST00000056355.8,5,Nat8l
ENSMUST00000023007.5,5,Adcy8
ENSMUST00000038794.4,5,Dpp9
ENSMUST00000043951.8,5,Actr1b
ENSMUST00000052236.11,5,Fbxo10
ENSMUST00000001185.12,5,Gmcl1
ENSMUST00000119707.1,5,Fam189b
ENSMUST00000022695.14,5,Dmtn
ENSMUST00000024894.1,5,Cyp1b1
ENSMUST00000088081.9,5,Dpysl5
ENSMUST00000020984.8,5,Adcy3
ENSMUST00000064447.10,5,Nup188
ENSMUST00000113889.7,5,Gtf3c5
ENSMUST00000028170.13,5,Ralgds
ENSMUST00000121469.1,5,Reep1
ENSMUST00000115364.6,5,Cdk16
ENSMUST00000027404.10,5,Ptprn
ENSMUST00000042561.12,5,Slc43a2
ENSMUST00000169273.1,5,Ndst1
ENSMUST00000055125.4,5,Diras1
ENSMUST00000088174.3,5,Hs6st1
ENSMUST00000002495.16,5,Meis3
ENSMUST00000116563.6,5,Klc2
ENSMUST00000079600.9,5,Ece2
ENSMUST00000065118.5,5,Ube2ql1
ENSMUST00000163765.1,5,Nup155
ENSMUST00000033775.7,5,Mpp1
ENSMUST00000098924.7,5,Adar
ENSMUST00000067101.8,5,Kcnj3
ENSMUST00000029686.3,5,Hcn3
ENSMUST00000008748.7,5,Ubqln4
ENSMUST00000136591.6,5,Dnajc21
ENSMUST00000046516.10,5,Gdf1
ENSMUST00000000193.5,5,Ccl2
ENSMUST00000040689.13,5,Atg9a
ENSMUST00000140556.1,5,Adap2os
ENSMUST00000037422.14,5,Rnf44
ENSMUST00000055040.11,5,Ccdc69
ENSMUST00000039413.13,5,Pde4a
ENSMUST00000004036.5,5,Efnb3
ENSMUST00000025314.5,5,0610009O20Rik
ENSMUST00000025554.2,5,Scgb1a1
ENSMUST00000064883.11,5,Plekha2
ENSMUST00000074240.3,5,Fam69b
ENSMUST00000025053.8,5,Mllt1
ENSMUST00000117140.6,5,Rgp1
ENSMUST00000037489.13,5,Agpat1
ENSMUST00000102849.9,5,Usp20
ENSMUST00000025908.6,5,Kcnk4
ENSMUST00000047408.5,5,Atcay
ENSMUST00000088935.3,5,Zdhhc9
ENSMUST00000175734.1,5,Psd2
ENSMUST00000169266.6,5,Cic
ENSMUST00000045078.11,5,Grhpr
ENSMUST00000107857.8,5,Ap2a1
ENSMUST00000088295.7,5,Chpf2
ENSMUST00000107756.3,5,Coro2a
ENSMUST00000096365.3,5,Scrt1
ENSMUST00000108341.1,5,Map3k10
ENSMUST00000046022.14,5,Skiv2l
ENSMUST00000161354.6,5,Abcg4
ENSMUST00000033752.12,5,Slc6a8
ENSMUST00000020288.12,5,Eif4ebp2
ENSMUST00000131087.1,5,Mypop
ENSMUST00000121802.7,5,Ank1
ENSMUST00000052539.11,5,Rusc1
ENSMUST00000023832.6,5,Rgn
ENSMUST00000114874.3,5,Clec2l
ENSMUST00000045351.11,5,Atg2a
ENSMUST00000002007.3,5,Siae
ENSMUST00000113500.6,5,Men1
ENSMUST00000111780.2,5,Ppp1r1c
ENSMUST00000058667.13,5,Lrrc4b
ENSMUST00000166496.6,5,Slit1
ENSMUST00000152841.1,5,11-Mar
ENSMUST00000091259.7,5,Slc7a14
ENSMUST00000080780.6,5,Lhfpl5
ENSMUST00000023882.12,5,Sympk
ENSMUST00000095550.2,5,Syndig1l
ENSMUST00000036092.9,5,Kcnh2
ENSMUST00000060837.8,5,Rab11fip5
ENSMUST00000089178.8,5,Mei1
ENSMUST00000038558.8,5,Klf16
ENSMUST00000057423.5,5,Ppapdc3
ENSMUST00000169459.2,5,Pdzd7
ENSMUST00000020578.9,5,Nudcd2
ENSMUST00000039327.9,5,Dagla
ENSMUST00000164782.7,5,Coch
ENSMUST00000077257.10,5,Rxra
ENSMUST00000159068.1,5,Adra1a
ENSMUST00000056403.6,5,H1fx
ENSMUST00000113265.6,5,Foxp4
ENSMUST00000004683.11,5,Mcoln1
ENSMUST00000107866.6,5,Tmem8b
ENSMUST00000120472.1,5,Afap1l1
ENSMUST00000015605.13,5,Atf6b
ENSMUST00000118962.6,5,Syt3
ENSMUST00000044216.6,5,Shd
ENSMUST00000047490.5,5,Ndst2
ENSMUST00000095521.2,5,Zdhhc22
ENSMUST00000053986.7,5,Lingo3
ENSMUST00000001256.9,5,Sema6b
ENSMUST00000171962.1,5,Camsap3
ENSMUST00000044507.10,5,Inpp5j
ENSMUST00000000199.7,5,Ncs1
ENSMUST00000037992.13,5,Ssh3
ENSMUST00000151288.6,5,Slc45a4
ENSMUST00000006785.7,5,Slc17a1
ENSMUST00000023291.5,5,Mapk8ip2
ENSMUST00000105401.7,5,Trpm2
ENSMUST00000008088.7,5,Ttc9b
ENSMUST00000168693.1,5,Slc8a2
ENSMUST00000022691.12,5,Hr
ENSMUST00000110664.7,5,Dab2
ENSMUST00000107974.1,5,Iglon5
ENSMUST00000021459.12,5,Rab15
ENSMUST00000112364.6,5,Anxa11
ENSMUST00000028137.8,5,Coq4
ENSMUST00000122211.6,5,Rab3d
ENSMUST00000204059.1,5,Add2
ENSMUST00000065668.10,5,Nrgn
ENSMUST00000045713.3,5,Nacad
ENSMUST00000172699.1,5,Mex3a
ENSMUST00000162004.6,5,Hps1
ENSMUST00000043944.5,5,Ano5
ENSMUST00000016696.11,5,Foxred2
ENSMUST00000122409.6,5,Lrp3
ENSMUST00000002412.8,5,Ncan
ENSMUST00000076957.5,5,Zdhhc8
ENSMUST00000060500.8,5,Eif5a2
ENSMUST00000039631.8,5,Acta2
ENSMUST00000114218.1,5,D16Ertd472e
ENSMUST00000030138.8,5,Nol6
ENSMUST00000047331.6,5,Lgi3
ENSMUST00000160885.1,5,Tcf19
ENSMUST00000181523.1,5,Gm26889
ENSMUST00000189400.5,5,Paqr8
ENSMUST00000022692.3,5,Sftpc
ENSMUST00000011733.8,5,Fsd1
ENSMUST00000080514.7,5,Rpp25
ENSMUST00000048678.6,5,Lss
ENSMUST00000165311.1,5,Cnnm1
ENSMUST00000198204.3,5,Kcnt1
ENSMUST00000007738.9,5,Hapln4
ENSMUST00000069184.7,5,Phf24
ENSMUST00000148532.1,5,Mamstr
ENSMUST00000175858.7,5,Nptxr
ENSMUST00000071880.7,5,Myo15
ENSMUST00000025374.3,5,Pou4f3
ENSMUST00000022819.10,5,Jph4
ENSMUST00000003561.8,5,Phyhip
ENSMUST00000040880.7,5,Map6d1
ENSMUST00000006105.6,5,Shpk
ENSMUST00000090971.9,5,Bcan
ENSMUST00000066041.10,5,Shisa7
ENSMUST00000038949.4,5,Adrb1
ENSMUST00000162424.1,5,Panx2
ENSMUST00000060716.5,5,Samd3
ENSMUST00000055604.4,5,Zfp526
ENSMUST00000029371.2,5,Smad9
ENSMUST00000022638.5,5,Nefm
ENSMUST00000084736.2,5,Cnr1
ENSMUST00000054514.5,5,Rtn4rl2
ENSMUST00000118161.1,5,Grm4
ENSMUST00000045702.5,5,Slc2a6
ENSMUST00000139848.6,5,Rasd2
ENSMUST00000085658.4,5,6030419C18Rik
ENSMUST00000094787.7,5,Slc34a2
ENSMUST00000088592.4,5,Elfn2
ENSMUST00000002708.4,5,Shh
ENSMUST00000098768.2,5,AI593442
ENSMUST00000183482.1,5,Htr1b
ENSMUST00000168444.6,5,Opn4
ENSMUST00000090860.6,5,Ftl1-ps1
